,city,city_lat,city_lng
0,Aguilar,37.403626,-104.655036
1,Akron,40.164382,-103.220685
2,Alamosa,37.475041,-105.875314
3,Alma,39.285942,-106.066319
4,Antonito,37.076605,-106.010222
5,Arriba,39.284058,-103.273902
6,Arvada,39.833728,-105.150306
7,Aspen,39.194951,-106.837002
8,Ault,40.583454,-104.733962
9,Aurora,39.688002,-104.68974
10,Avon,39.641797,-106.515877
11,Basalt,39.358174,-107.018557
12,Bayfield,37.235248,-107.594814
13,Bennett,39.74599,-104.442841
14,Berthoud,40.284667,-104.965504
15,Bethune,39.303822,-102.423414
16,Black Hawk,39.801069,-105.489224
17,Blanca,37.439281,-105.513526
18,Blue River,39.448494,-106.036774
19,Bonanza,38.296607,-106.141873
20,Boone,38.250445,-104.260792
21,Boulder,40.027435,-105.251945
22,Bow Mar,39.626594,-105.050914
23,Branson,37.015493,-103.883777
24,Breckenridge,39.499619,-106.043292
25,Brighton,39.96479,-104.796581
26,Brookside,38.413543,-105.19106
27,Broomfield,39.953302,-105.052038
28,Brush,40.258136,-103.63216
29,Buena Vista,38.829332,-106.139515
30,Burlington,39.304491,-102.271463
31,Calhan,39.034438,-104.299139
32,Campo,37.104711,-102.578798
33,Cañon City,38.441889,-105.220891
34,Carbondale,39.394616,-107.214475
35,Castle Pines,39.462512,-104.87062
36,Castle Rock,39.376089,-104.853487
37,Cedaredge,38.894137,-107.925498
38,Centennial,39.590568,-104.869118
39,Center,37.751351,-106.110195
40,Central City,39.79579,-105.514835
41,Cheraw,38.108104,-103.510926
42,Cherry Hills Village,39.637418,-104.94747
43,Cheyenne Wells,38.819202,-102.35203
44,Coal Creek,38.362038,-105.141782
45,Cokedale,37.144223,-104.62159
46,Collbran,39.240016,-107.963956
47,Colorado Springs,38.867255,-104.760749
48,Columbine Valley,39.59958,-105.030771
49,Commerce City,39.882968,-104.795452
50,Cortez,37.349783,-108.576687
51,Craig,40.517034,-107.555674
52,Crawford,38.705183,-107.610061
53,Creede,37.849102,-106.925415
54,Crested Butte,38.867736,-106.977266
55,Crestone,37.994497,-105.696273
56,Cripple Creek,38.746149,-105.184042
57,Crook,40.858752,-102.801392
58,Crowley,38.193506,-103.859744
59,Dacono,40.063521,-104.946804
60,De Beque,39.275733,-108.193405
61,Deer Trail,39.615892,-104.043007
62,Del Norte,37.678447,-106.353931
63,Delta,38.757372,-108.087959
64,Denver,39.76185,-104.881105
65,Dillon,39.625881,-106.043728
66,Dinosaur,40.240551,-109.00859
67,Dolores,37.47399,-108.499824
68,Dove Creek,37.766665,-108.906297
69,Durango,37.273267,-107.871692
70,Eads,38.481346,-102.779776
71,Eagle,39.634496,-106.816402
72,Eaton,40.525181,-104.713308
73,Eckley,40.112467,-102.488545
74,Edgewater,39.75082,-105.062615
75,Elizabeth,39.361015,-104.606172
76,Empire,39.75971,-105.682813
77,Englewood,39.646505,-104.994001
78,Erie,40.040351,-105.039365
79,Estes Park,40.377117,-105.525514
80,Evans,40.350168,-104.748388
81,Fairplay,39.22378,-105.994005
82,Federal Heights,39.86459,-105.016341
83,Firestone,40.149261,-104.961932
84,Flagler,39.295491,-103.076707
85,Fleming,40.681771,-102.839443
86,Florence,38.379826,-105.098107
87,Fort Collins,40.548216,-105.064833
88,Fort Lupton,40.081503,-104.798544
89,Fort Morgan,40.256029,-103.791319
90,Fountain,38.69958,-104.699758
91,Fowler,38.129631,-104.025673
92,Foxfield,39.588405,-104.785823
93,Fraser,39.923324,-105.805286
94,Frederick,40.109362,-104.965251
95,Frisco,39.578482,-106.090973
96,Fruita,39.15396,-108.728196
97,Garden City,40.394591,-104.689494
98,Genoa,39.27833,-103.498786
99,Georgetown,39.721298,-105.694029
100,Gilcrest,40.284156,-104.782024
101,Glendale,39.702917,-104.936069
102,Glenwood Springs,39.550626,-107.324308
103,Golden,39.742483,-105.210561
104,Granada,38.062975,-102.311707
105,Granby,40.036989,-105.900174
106,Grand Junction,39.089062,-108.567452
107,Grand Lake,40.246652,-105.825629
108,Greeley,40.414034,-104.771043
109,Green Mountain Falls,38.934954,-105.019713
110,Greenwood Village,39.615934,-104.911688
111,Grover,40.869111,-104.225932
112,Gunnison,38.545479,-106.922551
113,Gypsum,39.639971,-106.911471
114,Hartman,38.121118,-102.221652
115,Haswell,38.452451,-103.164896
116,Haxtun,40.64152,-102.629539
117,Hayden,40.485241,-107.242311
118,Hillrose,40.324654,-103.522175
119,Holly,38.055639,-102.124589
120,Holyoke,40.582094,-102.298414
121,Hooper,37.745976,-105.877735
122,Hot Sulphur Springs,40.074834,-106.102486
123,Hotchkiss,38.799065,-107.713633
124,Hudson,40.078388,-104.641005
125,Hugo,39.135962,-103.473373
126,Idaho Springs,39.748923,-105.504759
127,Ignacio,37.117729,-107.63746
128,Iliff,40.758333,-103.066128
129,Jamestown,40.117078,-105.389048
130,Johnstown,40.389789,-104.969443
131,Julesburg,40.984988,-102.26258
132,Keenesburg,40.112932,-104.489163
133,Kersey,40.38743,-104.565866
134,Kim,37.247062,-103.353411
135,Kiowa,39.34353,-104.457176
136,Kit Carson,38.762823,-102.795366
137,Kremmling,40.056543,-106.37816
138,La Jara,37.273562,-105.959821
139,La Junta,37.979414,-103.547336
140,La Veta,37.508562,-105.008487
141,Lafayette,39.995268,-105.09962
142,Lake City,38.030504,-107.310176
143,Lakeside,39.779075,-105.057825
144,Lakewood,39.698942,-105.117551
145,Lamar,38.074729,-102.616682
146,Larkspur,39.229776,-104.885758
147,Las Animas,38.069668,-103.223229
148,LaSalle,40.348525,-104.705927
149,Leadville,39.246693,-106.293509
150,Limon,39.264844,-103.683757
151,Littleton,39.590375,-105.020084
152,Lochbuie,40.010496,-104.724484
